[1] направленность | 名词 | 方向性；倾向
[170] подсудимый | 名词 | 被告；受审人
[171] позвонить | 动词 | 打电话；按铃
[172] поздно | 副词 | 晚；迟
[173] пока | 副词 | 暂时；目前
[174] покинутый | 形容词 | 被遗弃的
[175] поклонение | 名词 | 崇拜；敬仰
[176] покои | 名词 | 居室；内室（复数）
[177] покрыть | 动词 | 覆盖；掩饰
[178] пола | 名词 | 衣摆；下摆
[179] полезность | 名词 | 效用；有益
[180] полова | 名词 | 糠；谷壳
[181] положительно | 副词 | 肯定地；积极地
[182] полоскание | 名词 | 漱口；漂洗
[183] полотенце | 名词 | 毛巾
[184] полоть | 动词 | 除草
[185] полоумный | 形容词 | 半疯的；蠢的
[186] полый | 形容词 | 空的；中空的
[187] поля | 名词 | 田野（属格）；页边
[188] помост | 名词 | 台；舞台
[189] поносить | 动词 | 穿用；责骂
[190] понуждать | 动词 | 迫使；催促
[191] понять | 动词 | 理解；明白
[192] поощрение | 名词 | 鼓励；奖励
[193] поприще | 名词 | 领域；舞台（比喻）
[194] попрошайничать | 动词 | 乞讨；行乞
[195] поразительно | 副词 | 惊人地
[196] посещаемость | 名词 | 出勤率；访问量
[197] посланник | 名词 | 使者；公使
[198] послезавтра | 副词 | 后天
[199] посредственность | 名词 | 平庸；庸才
[200] постичь | 动词 | 领悟；通达
[201] постлать | 动词 | 铺上；铺开
[202] постоянно | 副词 | 始终；经常
[203] постригаться | 动词 | 削发；出家
[204] поступиться | 动词 | 放弃；牺牲
[205] потирать | 动词 | 揉搓；搓
[206] потому | 副词 | 因此；为此
[207] похоже | 副词 | 相似；好像
[208] похоронный | 形容词 | 丧葬的
[209] празднование | 名词 | 庆祝；庆典
[210] предикат | 名词 | 谓词；述语
[211] предло | 其他 | 前置词（截短，待核）
[212] предназначение | 名词 | 使命；天职
[213] предположим | 动词 | 假定；假设
[214] прекратиться | 动词 | 停止；终止
[215] премировать | 动词 | 奖励；发奖金
[216] премьер-министр | 名词 | 首相；总理
[217] привал | 名词 | 休息；宿营
[218] приверженец | 名词 | 追随者；拥护者
[219] придаточный | 形容词 | 从属的；从句的
[220] призрачный | 形容词 | 虚幻的；朦胧的
[221] прилагательное | 名词 | 形容词（词类）
[222] применимый | 形容词 | 适用的；可使用的
[223] примирять | 动词 | 使和解；调和
[224] принадлежащий | 形容词 | 属于…的
[225] приставка | 名词 | 前缀；附加装置
[226] пристроить | 动词 | 增建；安置
[227] присяга | 名词 | 宣誓；誓言
[228] присяжный | 名词 | 陪审员
[229] причастие | 名词 | 形动词；圣餐
[230] причем | 连词 | 而且；并且
[231] провинность | 名词 | 过错；罪过
[232] провокационный | 形容词 | 挑衅的；煽动的
[233] продвигать | 动词 | 推进；提升
[234] продвинуть | 动词 | 推动；使前进
[235] продолговатый | 形容词 | 长方形的；拉长的
[236] продуктивность | 名词 | 产能；效率
[237] промысл | 名词 | 渔业；营生
[238] прорастать | 动词 | 发芽；生根
[239] пророчество | 名词 | 预言
[240] просторно | 副词 | 宽敞；开阔
[241] проступок | 名词 | 过失；行为不端
[242] просыпаться | 动词 | 醒来
[243] противодействие | 名词 | 抵制；反抗
[244] проф | 名词 | 行家；专业者（待核）
[245] процент | 名词 | 百分比；利率
[246] прочее | 代词 | 其他；其余
[247] психика | 名词 | 心理；精神
[248] публицист | 名词 | 政论家；时评人
[249] путник | 名词 | 旅人；行路者
[250] работоспособность | 名词 | 工作能力
[251] равномерно | 副词 | 均匀地
[252] разбежаться | 动词 | 跑散；四散
[253] разбушеваться | 动词 | 大闹；狂暴起来
[254] развалить | 动词 | 拆毁；搞垮
[255] разве | 副词 | 难道；或许
[256] разг | 其他 | 词形残缺，待人工核对
[257] разделительный | 形容词 | 分隔的；区分的
[258] разделывать | 动词 | 收拾；加工
[259] раздраженно | 副词 | 恼火地；烦躁地
[260] разменный | 形容词 | 可兑换的；零钱的
[261] разостлать | 动词 | 铺开；展开
[262] разъяснение | 名词 | 解释；说明
[263] ран | 名词 | 伤口（属格）；清晨
[264] рапортовать | 动词 | 报告；汇报
[265] раскачиваться | 动词 | 摇摆；动摇
[266] раскрытый | 形容词 | 敞开的；被揭发的
[267] раскусить | 动词 | 咬开；看穿
[268] расправить | 动词 | 抚平；伸直
[269] распространитель | 名词 | 传播者；推销员
[270] распространить | 动词 | 传播；扩大
[271] рассекать | 动词 | 劈开；穿越
[272] рассказов | 名词 | 故事（属格复数）
[273] расслабляться | 动词 | 放松；松弛
[274] рассыпной | 形容词 | 散装的；易散的
[275] растрачивать | 动词 | 挥霍；浪费
[276] расходование | 名词 | 消耗；支出
[277] рая | 名词 | 天堂（属格）
[278] регенерация | 名词 | 再生；回收
[279] редактирование | 名词 | 编辑；校订
[280] резервуар | 名词 | 容器；水库
[281] резко | 副词 | 急剧；严厉
[282] резюме | 名词 | 简历；总结
[283] речевой | 形容词 | 言语的
[284] родительный | 形容词 | 生格的；第二格的
[285] роман | 名词 | 长篇小说；浪漫事
[286] рыбий | 形容词 | 鱼的；鱼类的
[287] рядом | 副词 | 在旁边；并肩
[288] садоводство | 名词 | 园艺
[289] сбавить | 动词 | 减少；降低
[290] сбережение | 名词 | 储蓄；保护
[291] сборка | 名词 | 装配；收集
[292] сбыть | 动词 | 卖掉；摆脱
[293] свекла | 名词 | 甜菜
[294] свернутый | 形容词 | 卷起的；被缩减的
[295] света | 名词 | 光（属格）；世间
[296] себе | 代词 | 自己（反身代词，与格）
[297] северо-восточный | 形容词 | 东北的
[298] секстет | 名词 | 六重奏；六人组
[299] семантика | 名词 | 语义（学）
[300] семью | 名词 | 家庭（工具格）
[301] сена | 名词 | 干草（属格）
[302] сердечная | 形容词 | 衷心的；心脏的（阴性）
[303] сетовать | 动词 | 抱怨；叹息
[304] сжатие | 名词 | 压缩；收缩
[305] сидя | 副词 | 坐着；坐着时
[306] симбиоз | 名词 | 共生
[307] сингапур | 专有名词 | 新加坡
[308] сказуемое | 名词 | 谓语（语法）
[309] скал | 名词 | 岩石（属格复数）
[310] склонить | 动词 | 使弯下；说服
[311] слияние | 名词 | 合并；汇流
[312] словарь | 名词 | 词典；字典
[313] служитель | 名词 | 服务员；神职人员
[314] случать | 动词 | 使交配；碰上
[315] см | 名词 | 厘米（缩写）
[316] смахивать | 动词 | 像；拂去
[317] сменить | 动词 | 更换；接替
[318] сменный | 形容词 | 轮班的；可换的
[319] смеркаться | 动词 | 天黑；黄昏降临
[320] сметана | 名词 | 酸奶油
[321] смешение | 名词 | 混合；混淆
[322] со | 前置词 | 同；和
[323] собеседование | 名词 | 面试；座谈
[324] совместно | 副词 | 共同地；一起
[325] согласоваться | 动词 | 协调；相一致
[326] соединительный | 形容词 | 连接的；连结的
[327] создать | 动词 | 创造；建立
[328] соколов | 专有名词 | 索科洛夫（姓，属格）
[329] соня | 名词 | 瞌睡虫；爱睡的人
[330] сопутствующий | 形容词 | 伴随的；附带的
[331] составитель | 名词 | 编纂者；编者
[332] сосуществовать | 动词 | 共存
[333] сосчитать | 动词 | 数清；计算
[334] спора | 名词 | 争论（属格）；孢子
[335] спряжение | 名词 | 变位（语法）
[336] спусковой | 形容词 | 扳机的；下降的
[337] сравниваться | 动词 | 与…相比；拉平
[338] сравниться | 动词 | 比得上；相比
[339] среднее | 名词 | 中等；平均值
[340] средний | 形容词 | 中间的；中等的
[341] ссуда | 名词 | 贷款；借款
[342] ст | 其他 | 词形残缺，待人工核对
[343] стабилизировать | 动词 | 使稳定
[344] стажировка | 名词 | 实习；见习
[345] старое | 名词 | 旧物；往事
[346] старшой | 形容词 | 年长的；大的（待核）
[347] статуэтка | 名词 | 小雕像；塑像
[348] стен | 名词 | 墙（属格复数）
[349] степенный | 形容词 | 庄重的；稳健的
[350] стесненный | 形容词 | 受限制的；局促的
[351] стираться | 动词 | 被洗掉；磨损
[352] стольный | 形容词 | 京城的；首都的
[353] стороной | 名词 | 一边；方面（工具格）
[354] стоя | 副词 | 站着；站立时
[355] стр | 其他 | 词形残缺，待人工核对
[356] студеный | 形容词 | 冰冷的；凛冽的
[357] стычка | 名词 | 冲突；小接触
[358] сублимация | 名词 | 升华
[359] сукин | 形容词 | 狗…的（骂詈语素）
[360] сурик | 名词 | 铅丹；红铅
[361] сурово | 副词 | 严厉地；粗糙地
[362] существующий | 形容词 | 现有的；存在的
[363] сюжетный | 形容词 | 情节的；题材的
[364] таинственность | 名词 | 神秘；奥秘
[365] таить | 动词 | 隐藏；怀有
[366] таяние | 名词 | 融化；消融
[367] тво | 其他 | 词形残缺，创造（词尾）
[368] творог | 名词 | 奶渣；凝乳
[369] тел | 名词 | 身体（属格复数）
[370] темно-зеленый | 形容词 | 深绿色的
[371] температура | 名词 | 温度；体温
[372] терновник | 名词 | 黑刺李；荆棘
[373] типа | 名词 | 类型（属格）；诸如
[374] товарищество | 名词 | 合伙；同志情谊
[375] тома | 名词 | 卷册（属格）
[376] тортовый | 形容词 | 蛋糕的；市集的（待核）
[377] трансформация | 名词 | 转化；变换
[378] трепет | 名词 | 颤动；敬畏
[379] третье | 名词 | 三分之一；第三者
[380] трос | 名词 | 缆绳；钢索
[381] туман | 名词 | 雾
[382] тупость | 名词 | 迟钝；愚蠢
[383] тура | 名词 | 图拉（地名，属格）；一圈
[384] туш | 名词 | 整只烤肉；熄（待核）
[385] тяжкий | 形容词 | 沉重的；严重的
[386] уведомление | 名词 | 通知；告知
[387] увязать | 动词 | 捆扎；协调
[388] увязывать | 动词 | 捆扎；使协调
[389] угодно | 副词 | 任意；情愿
[390] удаленный | 形容词 | 遥远的；远程的
[391] укрыть | 动词 | 掩盖；庇护
[392] уладить | 动词 | 调解；办妥
[393] умерить | 动词 | 节制；减弱
[394] университет | 名词 | 大学
[395] упираться | 动词 | 顶住；执拗
[396] уподоблять | 动词 | 使类似；把…比作
[397] упорядочить | 动词 | 整理；使有序
[398] управа | 名词 | 官府；管制
[399] уравновешивать | 动词 | 使平衡；使镇定
[400] успешность | 名词 | 成功；成效
[401] установленный | 形容词 | 规定的；确定的
[402] утерять | 动词 | 遗失；丢失
[403] утолить | 动词 | 解（渴）；满足
[404] утомленный | 形容词 | 疲倦的；疲惫的
[405] фазовый | 形容词 | 相位的；阶段的
[406] фотографировать | 动词 | 拍照；摄影
[407] фотопортрет | 名词 | 照相肖像
[408] фракция | 名词 | 派系；馏分
[409] фронтовой | 形容词 | 前线的
[410] хам | 名词 | 粗鲁的人；无礼之徒
[411] хвостик | 名词 | 小尾巴；尾数
[412] холодильный | 形容词 | 制冷的；冷藏的
[413] холодно | 副词 | 冷；寒冷
[414] холодное | 名词 | 冷菜；冷盘
[415] хорошо | 副词 | 好；不错
[416] хэйлунцзян | 专有名词 | 黑龙江（省/河）
[417] целик | 名词 | 整块；完全
[418] цемент | 名词 | 水泥
[419] цукат | 名词 | 蜜饯；糖渍果皮
[420] чад | 名词 | 煤烟；烟气
[421] частное | 名词 | 私事；私有
[422] частью | 名词 | 部分（工具格）
[423] чаять | 动词 | 期望；盼望
[424] чемодан | 名词 | 手提箱；皮箱
[425] чернозем | 名词 | 黑钙土；黑土
[426] четко | 副词 | 清晰地；准确地
[427] чжан | 专有名词 | 张（中国姓氏/音译，待核）
[428] чи | 其他 | 词形残缺，待人工核对
[429] чиновный | 形容词 | 官场的；官僚的
[430] числительное | 名词 | 数词（词类）
[431] чита | 名词 | 赤塔（地名，属格）
[432] чопорный | 形容词 | 拘谨的；古板的
[433] чрезмерно | 副词 | 过度地；过分
[434] чужое | 名词 | 他人财物；异己
[435] шара | 名词 | 球（属格，待核）；沙
[436] шестерка | 名词 | 六；六号；六人组
[437] школяр | 名词 | 学究；小学生（贬）
[438] штатный | 形容词 | 编制的；正式的
[439] штурмовой | 形容词 | 突击的；强攻的
[440] ыми | 其他 | 词形残缺，形容词词尾
[441] ых | 其他 | 词形残缺，形容词词尾
[442] экскурсия | 名词 | 游览；参观
[443] эксперт | 名词 | 专家
[444] экспромт | 名词 | 即席之作；即兴
[445] экстравагантный | 形容词 | 夸张的；怪异的
[446] этимология | 名词 | 词源学
[447] юго-восточный | 形容词 | 东南的
[448] юта | 专有名词 | 犹他（美国州名）
[449] явиться | 动词 | 出现；是
[450] ям | 名词 | 坑（属格）；驿站
[451] ян | 专有名词 | 燕（音译，待核）
