[1] авиценный | 形容词 | 阿维森纳的；与阿维森纳有关的
[82] газетно-публицистический | 形容词 | 报刊政论的
[83] гарбо | 副词 | 加博（音译，待核）
[84] гарвардский | 形容词 | 哈佛的
[85] гарибальдь | 名词 | 加里波第（人名变体）
[86] гастарбайтер | 名词 | 外籍劳工；打工者
[87] гендерный | 形容词 | 性别的；社会性别的
[88] гесерый | 形容词 | 格萨尔相关的（待核）
[89] гии | 其他 | 词形残缺，待人工核对
[90] гиллельс | 名词 | 希尔尔斯（专名，待核）
[91] гиперборейский | 形容词 | 极北的；超北方的
[92] глагольно-именной | 形容词 | 动词-名词的
[93] глагольность | 名词 | 动词性；动性
[94] глобализация | 名词 | 全球化
[95] гмии | 名词 | 词形残缺，待人工核对
[96] говорение | 名词 | 说话；言语
[97] гоголевский | 形容词 | 果戈理的
[98] голова-трансплантат | 名词 | 移植头颅；换头
[99] губисполком | 名词 | 省执行委员会
[100] гуманистический | 形容词 | 人道主义的；人文的
[101] даваться-даться | 动词 | 给予；让（被动/反身）
[102] дамоклов | 形容词 | 达摩克利斯的
[103] данила | 专有名词 | 丹尼拉（男人名）
[104] двадец | 名词 | 二十（疑似двадцать变体，待核）
[105] двувидовой | 形容词 | 双种的；两种的
[106] дембельский | 形容词 | 复员的；退伍的
[107] дение | 其他 | 词形残缺，待人工核对
[108] ребеночек | 名词 | 小孩子；小宝贝
[109] джигинк | 名词 | 吉格舞者（待核）
[110] диалоговый | 形容词 | 对话的；对话框的
[111] диаспора | 名词 | 侨民；散居群体
[112] дипломант | 名词 | 获奖者；文凭持有者
[113] дисбаланс | 名词 | 失衡；不平衡
[114] докладчика | 名词 | 报告人（属格）
[115] донской | 形容词 | 顿河的；哥萨克的
[116] допускаться | 动词 | 被允许；可能发生
[117] досушить | 动词 | 烘干；晾干
[118] дошколенок | 名词 | 学龄前儿童
[119] древнеримский | 形容词 | 古罗马的
[120] егорушка | 名词 | 叶戈鲁什卡（小名）
[121] ед | 其他 | 缩写/单数，待人工核对
[122] ен | 其他 | 词形残缺，待人工核对
[123] ет | 其他 | 词形残缺，待人工核对
[124] ехамрло | 名词 | 词形残缺，疑似OCR错误
[125] жан-ром | 名词 | 体裁-小说（复合词）
[126] желаемый | 形容词 | 期望的；所愿的
[127] жилконтора | 名词 | 房管处；住宅管理处
[128] жилтоварищество | 名词 | 住宅合作社
[129] жливый | 形容词 | 潮湿的（待核）
[130] журнальчик | 名词 | 小杂志；期刊
[131] загашник | 名词 | 私藏；暗格
[132] задействовать | 动词 | 动用；启用
[133] закладываться | 动词 | 被奠基；被存放
[134] закупочный | 形容词 | 采购的
[135] записите | 动词 | 请记下；写下来
[136] заработный | 形容词 | 工资的；薪水的
[137] зарядиться | 动词 | 充电；充满电
[138] заставлях | 名词 | 词形残缺，待人工核对
[139] затратный | 形容词 | 耗费的；成本高的
[140] затрудниться | 动词 | 难以；为难
[141] заша | 名词 | 词形残缺，待人工核对
[142] заявлень | 名词 | 声明（口语/截短）
[143] ззпроблемыличный | 形容词 | 词形残缺，疑似拼接错误
[144] знут | 名词 | 词形残缺，待人工核对
[145] зрительский | 形容词 | 观众的
[146] ибн | 其他 | 伊本（阿拉伯父名标记）
[147] игровный | 形容词 | 游戏的；博弈的（待核）
[148] игрушечка | 名词 | 小玩具；玩意儿
[149] ие | 其他 | 词形残缺，待人工核对
[150] изготавливаться | 动词 | 被制造；被制作
[151] издаваться | 动词 | 被出版；被发行
[152] излагаться | 动词 | 被阐述；被叙述
[153] изобрение | 名词 | 发明（疑似изобретение错词）
[154] изываться | 动词 | 词形残缺，待人工核对
[155] иммунодепрессивный | 形容词 | 免疫抑制的
[156] индуцировать | 动词 | 诱导；引发
[157] инженер-подполковник | 名词 | 工程兵中校
[158] инициировать | 动词 | 发起；启动
[159] инновация | 名词 | 创新；革新
[160] иностранец-некатолик | 名词 | 非天主教外国人
[161] интерактивный | 形容词 | 互动的；交互的
[162] интуристовский | 形容词 | 国际旅行社的
[163] инф | 其他 | 缩写：不定式，待核
[164] инфинитивный | 形容词 | 不定式的
[165] ипатьевский | 形容词 | 伊帕季耶夫的
[166] ирован | 其他 | 被动形动词词干，待核
[167] исало | 名词 | 词形残缺，待人工核对
[168] исполни-лось | 动词 | 已实现；满（若干岁）
[169] истинаа | 名词 | 真理（重叠/错词）
[170] ить | 其他 | 词形残缺，不定式词尾
[171] ическ | 其他 | 词形残缺，形容词词干
[172] ищы | 名词 | 词形残缺，复数（待核）
[173] йна | 其他 | 词形残缺，待人工核对
[174] каблуки | 名词 | 鞋跟（复数）
[175] казбич | 名词 | 卡兹比奇（专名）
[176] камбучий | 名词 | 柬埔寨的（待核）
[177] канцеляризм | 名词 | 公文套语；官僚用语
[178] каперна | 名词 | 迦百农（圣经地名）
[179] капин | 名词 | 词形残缺，待人工核对
[180] карауин | 名词 | 卡拉维因（清真寺/大学）
[181] картридж | 名词 | 墨盒； cartridge
[182] катерины | 专有名词 | 叶卡捷琳娜的（属格）
[183] кваренга | 名词 | 夸伦加（建筑师专名）
[184] кеу | 其他 | 词形残缺，待人工核对
[185] киевская | 形容词 | 基辅的（阴性）
[186] кинематографист | 名词 | 电影工作者
[187] кинозал | 名词 | 电影厅
[188] кинотрилогия | 名词 | 电影三部曲
[189] кинохит | 名词 | 卖座电影；热门影片
[190] киотский | 形容词 | 京都的；基奥特的
[191] кировский | 形容词 | 基洛夫的
[192] кладовщица | 名词 | 女仓管员；女保管员
[193] клинский | 形容词 | 克林的
[194] клонирование | 名词 | 克隆；无性繁殖
[195] книжность | 名词 | 书卷气；书本性
[196] кожистый | 形容词 | 皮质的；革状的
[197] козельский | 形容词 | 科泽尔斯克的
[198] козьма | 专有名词 | 科兹马（男人名）
[199] козьминский | 形容词 | 科兹明的
[200] козьмы | 专有名词 | 科兹马的（属格）
[201] коломенский | 形容词 | 科洛姆纳的
[202] коммуникабельность | 名词 | 交际能力；合群性
[203] компенсироваться | 动词 | 被补偿；得到弥补
[204] композиторский | 形容词 | 作曲家的
[205] конкурсант | 名词 | 参赛者；竞赛者
[206] контраргумент | 名词 | 反驳论据；反证
[207] контринформационный | 形容词 | 反宣传的；反情报的
[208] контролироваться | 动词 | 被控制；受监管
[209] конфессия | 名词 | 教派；信仰
[210] королевская | 形容词 | 女王的；皇家的（阴性）
[211] костромич | 名词 | 科斯特罗马人
[212] костромской | 形容词 | 科斯特罗马的
[213] кошерный | 形容词 | 洁食的；符合犹太教规的
[214] краснодарский | 形容词 | 克拉斯诺达尔的
[215] краснознаменный | 形容词 | 红旗的；荣获红旗勋章的
[216] краснопрудный | 形容词 | 红池塘的
[217] креативность | 名词 | 创造力；创意
[218] кришма | 名词 | 克里什玛（音译/专名）
[219] круизный | 形容词 | 游轮的；巡航的
[220] крывающийся | 形容词 | 覆盖的；隐藏的（待核）
[221] кс | 其他 | 词形残缺，待人工核对
[222] куликовская | 形容词 | 库利科沃的（阴性）
[223] куликовский | 形容词 | 库利科沃的
[224] культурология | 名词 | 文化学；文化研究
[225] курганский | 形容词 | 库尔干市的
[226] кустовой | 形容词 | 丛生的；灌木的；地方性的
[227] ландшафтный | 形容词 | 景观的；风景的
[228] лаутара | 名词 | 劳塔拉（乐器/专名）
[229] легитимность | 名词 | 合法性；正当性
[230] лексико-грамматический | 形容词 | 词汇语法的
[231] лексико-семантический | 形容词 | 词汇语义的
[232] лексическа | 名词 | 词汇的（截短/错词）
[233] лемка | 名词 | 列姆科人（待核）
[234] ленинградец | 名词 | 列宁格勒人
[235] ленфильм | 名词 | 列宁格勒电影制片厂
[236] летие | 名词 | 周年；年庆
[237] литературоведческий | 形容词 | 文艺学的；文学研究的
[238] ложить | 动词 | 放；搁置（口语/方言）
[239] лонгрена | 名词 | 隆格伦（专名/地名）
[240] лев-арзылан | 名词 | 狮子-阿尔孜兰（专名复合）
[241] лючий | 名词 | 词形残缺，待人工核对
[242] магистерский | 形容词 | 硕士的
[243] магомаев | 专有名词 | 马戈马耶夫（专名）
[244] мальчик-зайчик | 名词 | 小兔男孩；兔儿郎
[245] манга | 名词 | 漫画（日本）
[246] мариинский | 形容词 | 玛丽亚的；马林斯基的
[247] маркес | 名词 | 马尔克斯（专名）
[248] маркетинговый | 形容词 | 营销的
[249] маркетолог | 名词 | 营销人员；市场专员
[250] межличностный | 形容词 | 人际的
[251] мемуарный | 形容词 | 回忆录的
[252] метрополь | 名词 | 母国；宗主国
[253] микроволновый | 形容词 | 微波的
[254] минздрав | 名词 | 卫生部
[255] мирлюбивый | 形容词 | 爱好和平的
[256] мироустройство | 名词 | 世界秩序；宇宙构造
[257] млн | 名词 | 百万（缩写）
[258] мненить | 动词 | 认为；以为（疑似变体，待核）
[259] многоголовен | 名词 | 多头（待核）
[260] многозадачность | 名词 | 多任务处理；多工
[261] многоотраслевой | 形容词 | 多部门的；多行业的
[262] многоразовый | 形容词 | 多次使用的；可重复
[263] многофункциональный | 形容词 | 多功能的
[264] мобильник | 名词 | 手机；移动电话
[265] модально-экспрессивный | 形容词 | 情态表情的
[266] мониторинг | 名词 | 监测；监控
[267] монт | 名词 | 蒙特（专名/山，待核）
[268] монферран | 名词 | 蒙费朗（建筑师专名）
[269] мосфильм | 名词 | 莫斯科电影制片厂
[270] муромчанин | 名词 | 穆罗姆人
[271] муслим | 名词 | 穆斯林
[272] мэтр | 名词 | 大师；名厨
[273] мясникова | 专有名词 | 米亚斯尼科娃（专名）
[274] надавливание | 名词 | 按压；施压
[275] надоедливость | 名词 | 烦人；讨厌
[276] надомный | 形容词 | 在家的；居家制作的
[277] надстраиваться | 动词 | 被加建；被增建
[278] намеренность | 名词 | 蓄意；故意
[279] наноситься | 动词 | 被涂上；被施加
[280] нарабатывать | 动词 | 积累；练就
[281] нарциссизм | 名词 | 自恋
[282] натовский | 形容词 | 北约的
[283] натянуться | 动词 | 绷紧；拉紧
[284] наукоград | 名词 | 科学城
[285] нацеленность | 名词 | 目标明确；针对性
[286] нашпионить | 动词 | 告密；当间谍（口语）
[287] неактивный | 形容词 | 不活跃的；消极的
[288] негоюв | 名词 | 词形残缺，待人工核对
[289] неделька | 名词 | 小周；一星期
[290] недлительный | 形容词 | 短暂的；不长的
[291] недоплатить | 动词 | 少付；欠付
[292] недопонимание | 名词 | 误解；沟通不足
[293] недочеловек | 名词 | 非人；畸形人（贬）
[294] незнающий | 形容词 | 无知的；不知道的
[295] нейтральные | 形容词 | 中性的；中立的
[296] ненужность | 名词 | 无用；多余
[297] неоднозначный | 形容词 | 多义的；不明确的
[298] неординарный | 形容词 | 不平凡的；非凡的
[299] неповторимость | 名词 | 独特性；不可复制
[300] непознанный | 形容词 | 未被认识的；未知的
[301] неполезный | 形容词 | 无益的；有害的
[302] непрограммист | 名词 | 非程序员
[303] нераспространенный | 形容词 | 非扩展的；简式的
[304] нескоро | 副词 | 不很快；未必很快
[305] несова | 其他 | 缩写：未完成体，待核
[306] несохранение | 名词 | 未保存；不保留
[307] несхожий | 形容词 | 不相似的；不同的
[308] нетипичный | 形容词 | 非典型的
[309] нецеловать | 动词 | 不亲吻（待核）
[310] нечай-малец | 名词 | 涅恰伊-马列茨（专名）
[311] низам-шах | 名词 | 尼扎姆-沙阿（君主称号）
[312] нии | 名词 | 科研所（缩写）
[313] никитский | 形容词 | 尼基塔的
[314] николаевский | 形容词 | 尼古拉耶夫的
[315] новизность | 名词 | 新颖性；新奇
[316] новичок-блогер | 名词 | 新手博主
[317] новодел | 名词 | 新作；仿古新制品
[318] новосибирский | 形容词 | 新西伯利亚的
[319] нсв | 其他 | 缩写：未完成体
[320] нужность | 名词 | 必要性；需要
[321] ны | 其他 | 词形残缺，待人工核对
[322] ный | 其他 | 词形残缺，形容词词尾
[323] обитатель-миллионщик | 名词 | 百万富翁住户
[324] обладаемый | 形容词 | 被拥有的；所具有的
[325] обладева | 名词 | 掌握（截短，待核）
[326] облема | 名词 | 问题（疑似проблема错词）
[327] обобщенно-личный | 形容词 | 泛指人称的
[328] обрусевать | 动词 | 俄罗斯化；变俄式
[329] обществие | 名词 | 社会（变体/错词）
[330] общефактический | 形容词 | 概括事实的
[331] одаренно-сть | 名词 | 天赋；才气
[332] однокоренной | 形容词 | 同根的
[333] однократность | 名词 | 一次性；单次
[334] ое | 其他 | 词形残缺，待人工核对
[335] оеести | 动词 | 词形残缺，待人工核对
[336] ойстрах | 名词 | 词形残缺，待人工核对
[337] окну | 其他 | 词形残缺，窗（属格）
[338] онлайн | 副词 | 在线；线上
[339] онлайн-марафон | 名词 | 线上马拉松；云马拉松
[340] оо | 其他 | 词形残缺，待人工核对
[341] оооооооооеооооооооооееоооеоееоооеоеоеооеоеоеоеооеоеоевоов | 名词 | 词形残缺，疑似OCR长串错误
[342] определительно-обстоятельственный | 形容词 | 限定状语的
[343] определительность | 名词 | 限定性；确定性
[344] опровержгнуть | 动词 | 驳倒；推翻
[345] опровержать | 动词 | 反驳；驳斥
[346] оренбургский | 形容词 | 奥伦堡的
[347] оро | 其他 | 词形残缺，待人工核对
[348] отбираться | 动词 | 被选拔；被挑出
[349] отделяет | 动词 | 分开；隔开
[350] откорректировать | 动词 | 修正；校正
[351] отношенческий | 形容词 | 关系（主义）的
[352] отрисовать | 动词 | 画出；描绘
[353] отснять | 动词 | 拍完；摄毕
[354] отучивать | 动词 | 使戒除；管教
[355] отыскаться | 动词 | 被发现；找到
[356] офисный | 形容词 | 办公室的；办公的
[357] охотка | 名词 | 狩猎（变体/口语）
[358] охраняться | 动词 | 受保护；被守卫
[359] параллельность | 名词 | 平行性；并列
[360] партнерский | 形容词 | 伙伴的；合作的
[361] партнерство | 名词 | 伙伴关系；合作
[362] парфенона | 名词 | 帕特农神庙的（属格）
[363] пашь | 名词 | 词形残缺，待人工核对
[364] пергамский | 形容词 | 佩加蒙的；羊皮纸的
[365] переводимый | 形容词 | 可翻译的
[366] передаваемый | 形容词 | 可传递的；被传送的
[367] пережавал | 名词 | 咀嚼（相关，待核）
[368] пересдать | 动词 | 重考；补考
[369] перефразирование | 名词 | 改写；换种说法
[370] петербургс | 名词 | 彼得堡的（截短，待核）
[371] печат | 名词 | 印（截短，待核）
[372] планироваться | 动词 | 被计划；拟议
[373] пластизолевый | 形容词 | 增塑溶胶的
[374] по-рнек | 名词 | 词形残缺，待人工核对
[375] побороться | 动词 | 搏斗；斗争
[376] поглощаться | 动词 | 被吸收；被吞没
[377] поделывать | 动词 | 做做；常做（口语）
[378] подзарядиться | 动词 | 充电；补充精力
[379] подкабличник | 名词 | 跟班；随从（待核）
[380] подмосковные | 形容词 | 莫斯科近郊的（复数）
[381] подомочь | 动词 | 帮忙（疑似变体，待核）
[382] подпорный | 形容词 | 支撑的；承重的
[383] подпывать | 动词 | 游近（待核）
[384] подтвердите | 动词 | 请确认；证实
[385] подчеркиваться | 动词 | 被强调；被着重
[386] позвращаться | 动词 | 返回（疑似错词，待核）
[387] позиционировать | 动词 | 定位；确立地位
[388] полилог | 名词 | 多人对谈；多方对话
[389] полуподвальный | 形容词 | 半地下室的
[390] получением | 名词 | 获得（工具格）
[391] пользовательский | 形容词 | 用户的；使用者的
[392] помечтать | 动词 | 幻想；遐想
[393] помирить | 动词 | 使和解；调停
[394] понадо | 名词 | 词形残缺，待人工核对
[395] поощряться | 动词 | 受鼓励；被嘉奖
[396] послешкольный | 形容词 | 中学后的；课外的
[397] поставляться | 动词 | 被供应；被提供
[398] постец | 名词 | 词形残缺，待人工核对
[399] постпозиция | 名词 | 后置；后位
[400] поступ | 名词 | 行为（截短，待核）
[401] потрясающе | 副词 | 惊人地；极其
[402] поубивать | 动词 | 杀光；尽数杀死
[403] поуметь | 动词 | 学会（疑似变体，待核）
[404] пр | 形容词 | 词形残缺，待人工核对
[405] правлять | 名词 | 统治（截短，待核）
[406] прагматик | 名词 | 务实者；语用学家
[407] прев | 名词 | 超/反（前缀截短，待核）
[408] предвидеться | 动词 | 预示；预期
[409] предло | 其他 | 前置词（截短，待核）
[410] предлагаться | 动词 | 被提议；被提供
[411] предложно-падежный | 形容词 | 前置词-格的
[412] предновогодний | 形容词 | 新年前夕的
[413] предполагаться | 动词 | 拟议；计划
[414] представю | 名词 | 词形残缺，待人工核对
[415] предшествование | 名词 | 先前；居先
[416] пресвятой | 形容词 | 至圣的；极神圣的
[417] преследоваться | 动词 | 被迫害；被追究
[418] пресненский | 形容词 | 普列斯尼亚的
[419] приватность | 名词 | 私密性；隐私
[420] привозиться | 动词 | 被运来；被输入
[421] приглашаться | 动词 | 被邀请；受邀
[422] придержаться | 动词 | 坚持；遵循
[423] примочить | 动词 | 弄湿（待核）
[424] приобретаться | 动词 | 被获得；被购置
[425] причино-следственный | 形容词 | 因果的
[426] провождение | 名词 | 伴随；护送
[427] прожигание | 名词 | 烧灼；烫穿
[428] производиться | 动词 | 被生产；进行
[429] пролистывание | 名词 | 翻阅；浏览
[430] промодулировать | 动词 | 调制；调整（模块）
[431] проникший | 形容词 | 穿透的；深入其中的
[432] простачка | 名词 | 天真的人；傻大姐
[433] протестировать | 动词 | 测试；检验
[434] противопоставительно-сопоставительный | 形容词 | 对比对照的
[435] противопоставляться | 动词 | 被对立；被对比
[436] профинансировать | 动词 | 拨款；资助
[437] профит | 名词 | 利润；收益（口语）
[438] прояснять | 动词 | 阐明；弄清
[439] прутков | 专有名词 | 普鲁特科夫的（属格）
[440] пруткова | 专有名词 | 普鲁特科夫的（阴性）
[441] публиковаться | 动词 | 发表；出版
[442] путешествии | 名词 | 旅行（前置格）
[443] пуффф | 名词 | 噗（拟声/叹词）
[444] работаться | 动词 | 工作得（反身/无人称）
[445] работодателье | 名词 | 雇主（变体/错词）
[446] равненный | 形容词 | 被拉平的；整齐的
[447] радиоотход | 名词 | 放射性废料
[448] радиопрограмма | 名词 | 广播节目
[449] развеивание | 名词 | 消散；驱散
[450] разграничиваться | 动词 | 被划分；被界定
[451] разместиться | 动词 | 安顿；安置
[452] рамрофил | 名词 | 词形残缺，待人工核对
[453] рань | 名词 | 词形残缺，待人工核对
[454] раскрепостить | 动词 | 解放；使获自由
[455] расползание | 名词 | 蔓延；散开
[456] рассеянность | 名词 | 心不在焉；散漫
[457] рассматриваться | 动词 | 被审议；被研究
[458] регулярн | 形容词 | 定期的（截短）
[459] результативность | 名词 | 实效性；成效
[460] рекрутинговый | 形容词 | 招聘的；招募的
[461] релаксация | 名词 | 放松；松弛
[462] рений | 名词 | 铼（化学元素）
[463] репродуктивный | 形容词 | 生殖的；复制的
[464] реску | 名词 | 词形残缺，待人工核对
[465] ретрокино | 名词 | 怀旧电影；复古片
[466] речевого | 形容词 | 言语的（属格）
[467] рическа | 名词 | 词形残缺，待人工核对
[468] роман-эпопея | 名词 | 史诗小说
[469] ромиро | 名词 | 词形残缺，待人工核对
[470] роскосмос | 名词 | 俄航天集团（Roscosmos）
[471] российско-французский | 形容词 | 俄法的
[472] росстандарт | 名词 | 俄标准局
[473] ростовчанин | 名词 | 罗斯托夫人
[474] рочить | 动词 | 词形残缺，待人工核对
[475] рросеед | 名词 | 词形残缺，待人工核对
[476] руб | 名词 | 卢布（缩写）
[477] рукотворный | 形容词 | 人造的；手工的
[478] садовое | 形容词 | 园艺的（中性）
[479] самовыражаться | 动词 | 自我表达
[480] самовыразиться | 动词 | 自我表达（完成体）
[481] самоироничный | 形容词 | 自嘲的
[482] самопрезентация | 名词 | 自我展示
[483] саморазвитие | 名词 | 自我发展
[484] саморазогреваться | 动词 | 自热；自行加热
[485] самореализация | 名词 | 自我实现
[486] самосовершенствование | 名词 | 自我完善
[487] санкт-петербургский | 形容词 | 圣彼得堡的
[488] санчо | 名词 | 桑乔（专名/堂吉诃德仆人）
[489] сарториус | 名词 | Sartorius（解剖/专名）
[490] северсталь | 名词 | 北方钢铁（企业名）
[491] сельхозпроизводитель | 名词 | 农业生产者
[492] серафима | 名词 | 谢拉菲玛（女人名）
[493] середнячок | 名词 | 中农；中间派
[494] сигурд | 名词 | 西古尔德（专名）
[495] синтаксически | 副词 | 在句法上
[496] сиротаа | 名词 | 孤儿（重叠/错词）
[497] ситниковый | 形容词 | 席特尼科夫的；芦苇的
[498] скверд | 名词 | 词形残缺，待人工核对
[499] скол | 名词 | 碎屑；碎片
[500] скомпенсировать | 动词 | 补偿；弥补
[501] следник | 名词 | 跟随者；属员（待核）
[502] сленг | 名词 | 俚语；行话
[503] сложноподчиненный | 形容词 | 主从复合的
[504] сложносочиненный | 形容词 | 并列复合的
[505] служебно-розыскной | 形容词 | 警务侦查的
[506] смоленский | 形容词 | 斯摩棱斯克的
[507] снаут | 名词 | 词形残缺，待人工核对
[508] снизиться | 动词 | 下降；降低
[509] собира | 名词 | 采集；集合（截短）
[510] совместность | 名词 | 共同性；联合
[511] создающие | 形容词 | 创造的（复数）
[512] сокурсница | 名词 | 女同学；同窗
[513] солнцезащитный | 形容词 | 防晒的；遮阳的
[514] сомненить | 动词 | 怀疑（疑似变体，待核）
[515] соотнесение | 名词 | 对应；比照
[516] сопоставительный | 形容词 | 对照的；比较的
[517] сопоставляться | 动词 | 被对照；被比较
[518] соседка-пенсионерка | 名词 | 退休女邻居
[519] соцзащита | 名词 | 社会保障
[520] соцпакет | 名词 | 社保套餐；福利包
[521] спасо-преображенский | 形容词 | 救主变容的（教堂名）
[522] спбгу | 名词 | 圣彼得堡国立大学（缩写）
[523] спецполоса | 名词 | 专用车道；特殊标线
[524] спаться | 动词 | 睡着；睡得（无人称）
[525] спортсмен-дайвер | 名词 | 运动员潜水员
[526] среднесрочный | 形容词 | 中期的
[527] сретенский | 形容词 | 相遇节的；斯列坚斯基的
[528] ставиться | 动词 | 被放置；被上演
[529] стагнировать | 动词 | 停滞；不景气
[530] станцевать | 动词 | 跳（完）；舞毕
[531] стеклообои | 名词 | 玻璃壁纸；玻璃纤维壁布
[532] стилистически | 副词 | 在文体上；风格上
[533] столбизм | 名词 | 杆上运动；电线杆极限运动
[534] столбист | 名词 | 杆上运动者；攀杆人
[535] столбистовый | 形容词 | 杆上运动的
[536] страна-участница | 名词 | 参与国
[537] стро | 副词 | 严格地（词形残缺，待核）
[538] структурно-семантический | 形容词 | 结构语义的
[539] стульчик | 名词 | 小椅子；凳子
[540] судьбоносный | 形容词 | 决定性的；关乎命运的
[541] суперпрестижный | 形容词 | 超级有声望的
[542] схематически | 副词 | 示意地；概略地
[543] считываться | 动词 | 被读取；被辨读
[544] сяомина | 名词 | 小米相关/专名（待核）
[545] тадж-махать | 动词 | 泰姬陵（疑似错写，待核）
[546] тактом | 名词 | 分寸； tact（工具格）
[547] тв | 名词 | 电视（缩写）
[548] тво | 其他 | 词形残缺，创造（词尾）
[549] телеканал | 名词 | 电视频道
[550] телекоммуникационный | 形容词 | 电信的
[551] телепрограмма | 名词 | 电视节目
[552] телешоу | 名词 | 电视秀；电视节目
[553] тестаччо | 名词 | 泰斯塔乔（罗马地名）
[554] тестовый | 形容词 | 测试的；试验的
[555] техногенный | 形容词 | 技术成因的；人为的
[556] технок | 名词 | 技术控； tech（待核）
[557] технологичный | 形容词 | 技术性的；工艺先进的
[558] технопарк | 名词 | 科技园；高科技园区
[559] технопром | 名词 | 科技工业（复合词）
[560] техносервис | 名词 | 技术服务（公司名）
[561] типологический | 形容词 | 类型学的
[562] тиража | 名词 | 印数；发行量（属格）
[563] титуловать | 动词 | 授爵；加封称号
[564] тический | 形容词 | 词形残缺，待人工核对
[565] товарооборот | 名词 | 商品流转；营业额
[566] толерантность | 名词 | 宽容；包容
[567] тонельный | 形容词 | 隧道的（旧拼写）
[568] тоннельный | 形容词 | 隧道的
